"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101"
"1",5671,5824,6092,6833,8069,9676,11535,13498,15504,17747,20211,22542,25371,28936,31104,33419,35905,38501,41540,44067,47114,49691,52184,54348,56528,58440,60354,61956,63544,65571,66507,67825,68871,70220,71163,71820,72832,73230,73906,74530,75151,76095,76604,76845,77402,77710,77797,77964,78008,78169,78205,78340,78580,78812,78834,78856,78886,78917,78937,78957,78979,79003,79015,79033,79049,79170,79197,79223,79243,79258,79270,79281,79288,79291,79292,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"2",3321,3690,4287,4837,5931,7509,9128,11140,13204,15501,17889,20077,22988,25964,28597,31385,34595,37998,41428,44409,47100,50121,52854,55260,57132,59516,61106,62691,63903,65183,66678,67946,69025,69950,71025,71822,72551,73304,73590,74066,74597,75167,75489,75823,76297,76517,76972,77241,77399,77615,77659,77805,77860,77909,77983,78123,78272,78339,78467,78501,78528,78563,78599,78640,78680,78715,78831,78865,78970,78982,78997,79013,79031,79044,79066,79091,79201,79223,79248,79267,79277,79284,79292,79298,79306,79308,79312,79317,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"3",1891,2049,2287,2716,3662,4953,6754,8521,10674,12943,15049,17512,20003,22492,25260,28467,31577,34897,37954,41451,44743,48130,51219,53538,56170,58514,60566,62351,64102,65386,66725,68063,68914,70039,70868,71591,72292,73063,73660,74195,74803,75191,75792,76134,76624,76882,77031,77280,77446,77677,77961,78130,78217,78425,78537,78610,78669,78717,78752,78912,78942,79032,79054,79077,79158,79239,79255,79275,79296,79307,79312,79321,79329,79334,79334,79338,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"4",1225,1330,1442,1756,2346,3338,4725,6317,8087,10076,12369,14685,17127,19665,22438,25509,28314,30831,33690,36780,39707,42670,45158,47773,50074,52635,54965,56636,58604,60395,61840,63647,64836,66132,67284,68303,69317,70501,71417,72232,72940,73445,73973,74522,74890,75437,75864,76159,76547,76923,77273,77612,78025,78178,78354,78586,78645,78697,78734,78776,78813,79040,79164,79183,79208,79218,79243,79305,79315,79324,79333,79340,79343,79346,79347,79350,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"5",3003,3084,3215,3467,4180,4920,6052,7377,9054,10799,12888,15334,17666,20069,22781,25291,27993,30659,32775,35539,38316,41098,43578,45846,48548,51116,53626,55674,57612,59389,61021,62350,64071,65297,66246,67393,68696,69403,70079,71048,71579,72380,73066,73689,74373,74796,75627,76073,76534,76827,77177,77313,77508,77753,77900,78193,78345,78407,78687,78875,79131,79141,79229,79236,79240,79242,79322,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"6",2016,2215,2392,2679,3252,4272,5500,7220,9107,11101,13303,15824,18519,21102,24065,26955,29815,32467,35340,38385,41076,44194,47057,49790,52105,54420,56652,58665,60255,62110,63374,64793,66167,67349,68472,69551,70686,71351,72124,72752,73369,74018,74560,75224,75902,76390,76610,76829,77024,77284,77515,77680,77836,78047,78187,78390,78451,78507,78700,78815,78847,78872,78894,78919,78936,78961,79107,79128,79209,79227,79244,79261,79285,79298,79308,79317,79323,79327,79329,79331,79332,79335,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"7",3240,3512,3680,4191,5265,6509,8063,9936,11967,14430,16986,19406,22137,25033,27949,30984,34516,37909,41174,44604,46998,49705,52619,55092,57426,59351,60934,62695,64142,65593,66867,67846,69106,70055,71092,71813,72740,73477,74151,74609,75163,75612,75763,76259,76639,76830,77013,77181,77272,77439,77594,77657,78075,78145,78302,78362,78424,78491,78552,78594,78639,78678,78884,78911,78933,78958,79062,79084,79108,79121,79228,79249,79268,79283,79295,79305,79309,79314,79315,79316,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"8",3160,3436,3894,4340,5244,6549,8231,9862,12093,14616,17521,20077,23250,26481,29559,33144,36225,39601,42689,46040,49414,51715,54602,57258,59542,61869,63566,65296,66897,68212,69496,70562,71659,72505,73636,74154,74577,75338,75872,76465,76692,76984,77519,77877,78065,78230,78379,78584,78622,78744,78845,78864,78966,79154,79169,79185,79193,79207,79224,79251,79270,79285,79294,79304,79310,79313,79315,79318,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"9",2485,2657,2911,3470,4341,5504,6946,8699,10694,12821,15506,18094,20622,23389,26172,29112,32052,34936,38317,41579,44654,47513,49998,52358,55148,57228,58946,61036,62771,64034,65656,66937,68121,69235,70205,70854,71552,72392,73278,73797,74206,74750,75112,75801,76052,76350,76552,77014,77397,77503,77724,77804,78020,78086,78302,78366,78432,78580,78640,78691,78744,78861,78910,78944,78973,79088,79111,79209,79218,79230,79313,79316,79322,79326,79327,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"10",1830,1911,2093,2422,3191,4300,5648,7177,9193,11322,13364,15575,18040,20608,23500,25992,28845,32345,35192,38275,41487,44529,47000,49581,51951,54333,56373,58534,60181,61928,63626,64953,66101,67146,68332,69212,69938,70833,71568,72470,73094,73501,74016,74645,75199,75764,76174,76563,76779,77175,77476,77607,77802,77913,78057,78157,78417,78668,78839,79000,79091,79115,79126,79200,79270,79335,79337,79339,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"11",2016,2043,2113,2475,3101,3958,5217,6830,8581,10627,12943,15431,17863,20549,23159,25843,28991,31736,34864,37676,40943,43903,46968,49852,52337,54863,56873,58807,60829,62474,64257,65839,67147,68141,69113,70179,71047,71747,72342,73060,73814,74224,74678,75031,75258,75664,75937,76332,76501,76807,77109,77274,77572,77727,77802,77943,78014,78084,78269,78327,78371,78500,78532,78642,78759,78795,78827,78860,78895,78924,79015,79051,79079,79171,79195,79209,79237,79246,79252,79265,79267,79268,79336,79336,79336,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"12",2278,2371,2526,2933,3588,4483,5704,7247,9155,11181,13417,15930,18303,20865,23669,26471,29355,31838,35025,37660,40628,43617,46427,49340,52297,54856,56926,58864,60454,61902,63500,64552,65979,66905,67802,68871,69865,70645,71266,72014,72797,73554,73965,74500,74895,75237,75589,76052,76414,76631,76946,77250,77525,77873,77997,78109,78300,78471,78569,78598,78835,78848,78878,78896,78909,78995,79003,79008,79014,79017,79025,79109,79121,79135,79148,79156,79172,79184,79196,79212,79226,79241,79259,79277,79289,79303,79310,79317,79324,79325,79327,79328,79330,79331,79401,79401,79401,79401,79401,79401,79401
"13",2556,2581,2723,3093,3788,4657,6074,7738,9547,11510,13590,15963,18187,20863,23383,26169,29201,32351,35512,38618,41368,44510,47440,49937,52774,54823,57429,59301,60850,62644,64316,65587,67199,68349,69188,69961,71132,71866,72393,73125,74039,74762,75219,75599,75927,76528,77035,77386,77782,78014,78163,78518,78637,78765,78807,78906,78921,79012,79099,79176,79324,79326,79328,79328,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"14",3403,3506,3811,4178,5240,6501,7960,9779,11977,14351,17096,19371,22130,25526,28709,32202,35999,39154,42418,45596,48180,50694,53075,55095,57550,59484,61396,63018,64541,65582,66959,68064,69002,70018,71039,71912,72670,73665,74077,74603,75181,75521,75896,76075,76419,76576,76795,77090,77371,77630,77718,78145,78220,78465,78615,78749,78802,78845,78959,78987,79096,79201,79210,79301,79307,79314,79316,79317,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"15",4950,5073,5708,6173,7077,8117,9659,11360,13418,15550,17997,20425,23080,26209,29369,32742,35887,39495,42080,44948,48585,51075,54202,56596,58382,60107,62327,63579,65086,66078,67084,68195,69665,70632,71599,72204,72786,73589,73944,74275,74747,75281,75722,76052,76541,77023,77186,77342,77497,77851,77903,78148,78188,78240,78284,78337,78492,78547,78594,78649,78698,78743,78773,78799,78929,78948,78967,79093,79109,79222,79245,79258,79269,79279,79288,79290,79294,79299,79299,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"16",2346,2505,2667,3106,4143,5611,7305,9332,11494,13899,16348,18978,21728,24685,27881,30958,34059,37538,40537,43812,46699,49350,52512,55243,57286,59027,60903,62517,64143,65823,67475,68628,69767,70677,71598,72252,72714,73419,73931,74274,74567,75186,75501,75910,76380,76624,76800,77042,77200,77336,77614,77821,77880,78015,78149,78229,78299,78353,78409,78522,78571,78618,78647,78683,78788,78882,78901,78921,78932,79011,79018,79028,79106,79111,79125,79148,79166,79178,79195,79209,79221,79237,79254,79268,79286,79298,79306,79315,79320,79326,79327,79329,79331,79401,79401,79401,79401,79401,79401,79401,79401
"17",2016,2182,2495,3034,3990,5353,6733,8683,10742,13250,16041,18749,21605,24574,27556,30490,33838,37484,40595,44091,47420,49681,52182,54989,57504,59195,61321,62903,64303,65681,66685,68061,69003,69759,70501,71517,72488,73077,73667,74280,74765,75190,75464,75651,76233,76509,76704,76869,77037,77400,77574,77788,77927,78139,78352,78417,78486,78608,78661,78705,78825,78861,78890,78926,79024,79057,79080,79103,79188,79273,79282,79296,79305,79311,79316,79324,79330,79333,79336,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
"18",2346,2440,2674,3242,4038,5389,6971,9076,11313,13653,16163,18813,21753,24698,27781,30996,34443,37716,40944,44096,47030,50611,53622,56193,58132,59998,61963,63960,65443,66895,68016,69420,70401,71130,71854,72686,73186,73723,74070,74480,75129,75411,75872,76219,76496,76971,77289,77445,77588,77651,77843,78103,78215,78381,78415,78509,78524,78536,78612,78629,78640,78723,78740,78757,78768,78783,78798,78821,78840,78851,78868,78880,78898,78906,78921,78930,78939,78943,78947,78954,79027,79029,79032,79039,79045,79053,79058,79069,79074,79081,79086,79093,79106,79117,79133,79149,79158,79171,79189,79203,79225
"19",2145,2253,2598,3283,4258,5607,7221,9075,11194,13455,15934,18632,21451,24516,27696,31052,34006,37446,41128,44619,47671,50237,52859,55503,57591,59771,61377,63060,64529,65731,67111,68302,69395,70524,71451,71965,72577,73163,73538,74050,74613,75199,75509,75870,76312,76557,76776,77057,77203,77403,77550,77615,77671,77928,77984,78026,78080,78132,78247,78297,78345,78396,78504,78548,78585,78622,78649,78681,78713,78804,78827,78867,78959,78989,79022,79057,79076,79101,79130,79154,79179,79203,79221,79233,79308,79318,79322,79326,79330,79333,79334,79401,79401,79401,79401,79401,79401,79401,79401,79401,79401
