date,price,year,day,totaltx
6/1/2011 0:00,9.57,2011,152,6464
6/2/2011 0:00,10.6,2011,153,7632
6/3/2011 0:00,14.29,2011,154,8502
6/4/2011 0:00,18.89,2011,155,8766
6/5/2011 0:00,16.7,2011,156,8675
6/6/2011 0:00,18.55,2011,157,9437
6/7/2011 0:00,23.92,2011,158,9476
6/8/2011 0:00,29.6,2011,159,12536
6/9/2011 0:00,28.92,2011,160,11687
6/10/2011 0:00,23.95,2011,161,11242
6/11/2011 0:00,14.65,2011,162,11004
6/12/2011 0:00,18.55,2011,163,12548
6/13/2011 0:00,19.84,2011,164,11647
6/14/2011 0:00,19.28,2011,165,14065
6/15/2011 0:00,19.49,2011,166,12640
6/16/2011 0:00,17,2011,167,12077
6/17/2011 0:00,15.68,2011,168,11545
6/18/2011 0:00,16.89,2011,169,11585
6/19/2011 0:00,17.51,2011,170,11463
6/20/2011 0:00,17.51,2011,171,11260
6/21/2011 0:00,17.51,2011,172,9627
6/22/2011 0:00,17.51,2011,173,11366
6/23/2011 0:00,17.51,2011,174,10827
6/24/2011 0:00,17.51,2011,175,10307
6/25/2011 0:00,17.51,2011,176,9723
6/26/2011 0:00,16.45,2011,177,10851
6/27/2011 0:00,16.75,2011,178,11035
6/28/2011 0:00,16.95,2011,179,10691
6/29/2011 0:00,16.84,2011,180,9939
6/30/2011 0:00,16.1,2011,181,9622
7/1/2011 0:00,15.4,2011,182,10527
7/2/2011 0:00,15.4,2011,183,7658
7/3/2011 0:00,15.44,2011,184,8432
7/4/2011 0:00,13.86,2011,185,9808
7/5/2011 0:00,12.91,2011,186,9688
7/6/2011 0:00,14.78,2011,187,10158
7/7/2011 0:00,14.78,2011,188,8905
7/8/2011 0:00,14.31,2011,189,8254
7/9/2011 0:00,14.38,2011,190,7528
7/10/2011 0:00,14.9,2011,191,9276
7/11/2011 0:00,14.21,2011,192,9986
7/12/2011 0:00,14.01,2011,193,8363
7/13/2011 0:00,13.95,2011,194,8872
7/14/2011 0:00,13.99,2011,195,8834
