year	week	merge	split	transition
2009	1	0	0	1
2009	2	0	0.005524862	0.994475138
2009	3	0.006009615	0.008413462	0.985576923
2009	4	0.008658009	0	0.991341991
2009	5	0.006377551	0	0.993622449
2009	6	0.003282276	0.014223195	0.98249453
2009	7	0.006644518	0	0.993355482
2009	8	0.004784689	0	0.995215311
2009	9	0.002666667	0	0.997333333
2009	10	0.007731959	0.00128866	0.990979381
2009	11	0.002518892	0	0.997481108
2009	12	0.0078125	0	0.9921875
2009	13	0.003708282	0	0.996291718
2009	14	0.003623188	0	0.996376812
2009	15	0.003968254	0	0.996031746
2009	16	0.002380952	0.002380952	0.995238095
2009	17	0.003836317	0.001278772	0.99488491
2009	18	0.003546099	0.003546099	0.992907801
2009	19	0.002544529	0	0.997455471
2009	20	0.002239642	0.003359462	0.994400896
2009	21	0	0	1
2009	22	0.00130719	0.00130719	0.997385621
2009	23	0	0	1
2009	24	0	0	1
2009	25	0	0	1
2009	26	0.005535055	0.003690037	0.990774908
2009	27	0.003448276	0.003448276	0.993103448
2009	28	0	0	1
2009	29	0	0	1
2009	30	0.002398082	0	0.997601918
2009	31	0.004739336	0.004739336	0.990521327
2009	32	0.001838235	0	0.998161765
2009	33	0	0	1
2009	34	0	0	1
2009	35	0.004830918	0.002415459	0.992753623
2009	36	0.004	0	0.996
2009	37	0.00209205	0	0.99790795
2009	38	0.001972387	0	0.998027613
2009	39	0.009746589	0	0.990253411
2009	40	0.005802708	0	0.994197292
2009	41	0.006465517	0	0.993534483
2009	42	0.004415011	0	0.995584989
2009	43	0.00660066	0	0.99339934
2009	44	0.00802139	0	0.99197861
2009	45	0.002331002	0	0.997668998
2009	46	0.007246377	0.012681159	0.980072464
2009	47	0.00331675	0	0.99668325
2009	48	0	0	1
2009	49	0.005514706	0.001838235	0.992647059
2009	50	0.009126467	0.007822686	0.983050847
2009	51	0.004332756	0.003466205	0.99220104
2009	52	0.000890472	0.000890472	0.998219056
2010	1	0.001707942	0	0.998292058
2010	2	0.004868549	0.00292113	0.992210321
2010	3	0.003780718	0.008506616	0.987712665
2010	4	0.01402214	0.00295203	0.98302583
2010	5	0.010702341	0.004013378	0.985284281
2010	6	0.017869907	0.002144389	0.979985704
2010	7	0.015221707	0.007279947	0.977498345
2010	8	0.013422819	0.002982849	0.983594333
2010	9	0.016746411	0	0.983253589
2010	10	0.016227181	0.006085193	0.977687627
2010	11	0.01875	0.00625	0.975
2010	12	0.031114327	0.002170767	0.966714906
2010	13	0.021771772	0.000750751	0.977477477
2010	14	0.045396419	0.030051151	0.92455243
2010	15	0.023352794	0.648665555	0.327981651
2010	16	0.058486968	0.038143675	0.903369358
2010	17	0.053862509	0.032600992	0.913536499
2010	18	0.08677686	0.015702479	0.897520661
2010	19	0.08201581	0.014822134	0.903162055
2010	20	0.067692308	0.032	0.900307692
2010	21	0.049521666	0.017445132	0.933033202
2010	22	0.04797048	0.026568266	0.925461255
2010	23	0.051669817	0.04599874	0.902331443
2010	24	0.057345361	0.06314433	0.879510309
2010	25	0.056074766	0.072274143	0.87165109
2010	26	0.085730088	0.068030973	0.846238938
2010	27	0.050793651	0.262585034	0.686621315
2010	28	0.031060724	0.62144743	0.347491847
2010	29	0.047261222	0.536286336	0.416452442
2010	30	0.033204498	0.107167955	0.859627547
2010	31	0.067083196	0.329168037	0.603748767
2010	32	0.070650264	0.226362039	0.702987698
2010	33	0.089918256	0.243674582	0.666407162
2010	34	0.073746313	0.182469448	0.743784239
2010	35	0.080726965	0.230346577	0.688926458
2010	36	0.084164859	0.221258134	0.694577007
2010	37	0.08116655	0.227687983	0.691145467
2010	38	0.102638586	0.322682159	0.574679254
2010	39	0.101168348	0.460701009	0.438130643
2010	40	0.138293874	0.320556182	0.541149944
2010	41	0.087346025	0.273609556	0.63904442
2010	42	0.117098681	0.398135516	0.484765803
2010	43	0.09276089	0.311187715	0.596051395
2010	44	0.090738658	0.18447694	0.724784402
2010	45	0.088962717	0.187153931	0.723883352
2010	46	0.008028231	0.159550066	0.832421703
2010	47	0.102089148	0.121289013	0.776621839
2010	48	0.074014739	0.317526434	0.608458827
2010	49	0.074647123	0.409880565	0.515472313
2010	50	0.081005587	0.443880142	0.475114271
2010	51	0.053081422	0.590868196	0.356050382
2010	52	0.073640743	0.520646937	0.405712319
2011	1	0.052505364	0.445159662	0.502334974
2011	2	0.05186824	0.476155359	0.471976401
2011	3	0.087105155	0.636537673	0.276357172
2011	4	0.069057816	0.714239829	0.216702355
2011	5	0.085826155	0.611902897	0.302270948
2011	6	0.065331928	0.705918511	0.228749561
2011	7	0.064617754	0.681321759	0.254060487
2011	8	0.063066154	0.712050508	0.224883338
2011	9	0.066345605	0.73005513	0.203599265
2011	10	0.060645161	0.51916129	0.420193548
2011	11	0.037424746	0.41432294	0.548252314
2011	12	0.05857162	0.540973368	0.400455012
2011	13	0.087716834	0.608750615	0.303532551
2011	14	0.108110164	0.604001826	0.28788801
2011	15	0.131303925	0.619698627	0.248997448
2011	16	0.134707084	0.609956857	0.255336058
2011	17	0.138654318	0.645989804	0.215355878
2011	18	0.131826658	0.622458041	0.245715301
2011	19	0.182364022	0.599207284	0.218428695
2011	20	0.162835249	0.652792291	0.18437246
2011	21	0.153875652	0.667271705	0.178852643
2011	22	0.171484519	0.666899319	0.161616162
2011	23	0.171140767	0.684293597	0.144565636
2011	24	0.151831291	0.723824422	0.124344287
2011	25	0.121929125	0.731101526	0.146969349
2011	26	0.147472903	0.709089303	0.143437795
2011	27	0.151406071	0.697093544	0.151500385
2011	28	0.134921152	0.713801642	0.151277206
2011	29	0.147430357	0.718270062	0.134299581
